# 256 bits. times in ms
n	fft	classical
25	1	1
50	1	2
75	1	5
100	1	8
125	1	14
150	1	19
175	2	26
200	2	34
225	2	43
250	2	54
275	3	65
300	3	77
325	3	90
350	3	106
375	4	121
400	4	138
425	4	161
450	4	175
475	4	192
500	5	216
525	5	237
550	6	263
575	7	281
600	6	310
625	6	347
650	6	389
675	7	387
700	7	428
725	7	450
750	7	527
775	8	511
800	7	539
825	7	611
850	8	634
875	8	698
900	11	690
925	9	743
950	8	805
975	9	801
1000	9	835
1025	12	879
1050	12	922
1075	12	971
1100	11	1017
1125	12	1060
1150	12	1107
1175	12	1158
1200	12	1206
1225	12	1261
1250	12	1305
1275	13	1361
1300	13	1425
1325	13	1470
1350	13	1526
1375	14	1587
1400	14	1651
1425	13	1699
1450	14	1765
1475	14	1894
1500	15	1964
1525	15	1952
1550	15	2013
1575	15	2081
1600	15	2142
1625	15	2205
1650	16	2273
1675	15	2352
1700	15	2426
1725	16	2487
1750	16	2564
1775	17	2635
1800	16	2724
1825	17	2791
1850	22	2861
1875	17	2990
1900	17	3039
1925	17	3104
1950	18	3179
1975	17	3271
2000	18	3351
2025	18	3438
2050	24	3516
2075	23	3598
2100	23	3690
2125	24	3786
2150	23	3867
2175	23	3963
2200	23	4061
2225	24	4164
2250	24	4244
2275	25	4327
2300	25	4434
2325	24	4615
2350	25	4609
2375	25	4721
2400	27	4842
2425	25	4919
2450	26	5027
2475	26	5140
2500	26	5250
